61%,Not offered,21,$50,Not offered,9.5%,"$21,813",77%,3.6,"$19,568","$18,869","$20,221","$23,078","$12,653","$1,165",N/A,208,8%,45.1%,Yes,No,20,50%,24,22%,58%,77%,51%,N/A,30,N/A,0.0,3.7%,Not offered,6,6,14%,-2,3.3,83.4%,63%,66%,112,Either SAT or ACT,"$9,730 (2016-17)",950-1180,61,Selective,14:1,21,41%,71%,"4,544","$32,070 (2016-17)",26%,33%,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,10
16%,N/A,51,$20,N/A,N/A,N/A,59%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,400,3%,26.1%,No,No,75,79%,72,15%,39%,N/A,N/A,N/A,70,N/A,1.0,N/A,N/A,3,1,N/A,-14,2.5,N/A,30%,N/A,N/A,Either SAT or ACT,"$7,200 (2015-16)",17-22,N/A,Less selective,N/A,27,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,Not offered,N/A,$100,Not offered,N/A,"$11,252",N/A,N/A,"$10,235","$10,293","$18,831","$18,474","$8,243","$8,742","$19,256",N/A,N/A,N/A,No,No,N/A,100%,N/A,N/A,N/A,16%,N/A,61%,N/A,N/A,2.0,28.1%,Not offered,1,1,40%,N/A,N/A,N/A,N/A,30%,24,Neither SAT nor ACT,"$15,250 (2016-17)",N/A,N/A,N/A,15:1,N/A,90%,32%,"13,800",N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither SAT nor ACT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24%,N/A,91,N/A,N/A,N/A,N/A,57%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,65%,97,N/A,N/A,N/A,N/A,N/A,118,N/A,4.0,N/A,N/A,N/A,N/A,N/A,-1,2.4,71.1%,25%,N/A,N/A,Neither SAT nor ACT,"$8,696 (2015-16)",888-1080,N/A,Selective,N/A,95,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67%,Offered at cooperating institution (New York Institute of Technology),127,$40,Offered at cooperating institution (Hofstra University),9.3%,"$20,100",83%,3.5,"$7,417","$7,324","$19,999","$15,849","$18,224","$13,836","$33,485",75,2%,51.5%,Yes,No,57,72%,145,23%,54%,86%,58%,68%,146,3.3,5.0,4.2%,Not offered,10,13,7%,8,2.2,57.7%,59%,43%,90,Neither SAT nor ACT,"$14,210 (2015-16)",1010-1220,38,Selective,11:1,241,45%,48%,"7,256","$34,034 (2015-16)",10%,8%,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,196,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54%,Not offered,26,N/A,Offered at cooperating institution (University of Toledo),14%,"$27,456",64%,3.2,"$23,140","$22,551",$0,$0,"$19,012","$16,401","$37,777",132,1%,70.9%,No,No,8,61%,10,28%,60%,87%,28%,83%,23,N/A,6.0,0%,Not offered,5,4,22%,1,3.2,74%,53%,86%,79,Either SAT or ACT,"$10,740 (2016-17)",19-24,73,Selective,13:1,9,70%,86%,"1,715","$34,890 (2016-17)",19%,19%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither SAT nor ACT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68%,Offered at cooperating institution (Georgia Institute of Technology),25,N/A,Offered at cooperating institution (Georgia Institute of Technology),37.8%,"$33,793",84%,3.7,"$27,535","$27,336",N/A,N/A,"$27,090","$24,476","$33,050",100,0%,69.8%,Yes,Yes,71,62%,53,29%,62%,100%,45%,76%,113,3.7,8.0,7.7%,Not offered,0,0,45%,-1,3.1,85.7%,69%,78%,65,Neither SAT nor ACT,"$11,520 (2016-17)",1060-1330,61,More selective,10:1,84,70%,81%,902,"$38,472 (2016-17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,23,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32%,Not offered,49,$30,Offered on campus,8.5%,N/A,65%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,173",N/A,N/A,No,No,61,53%,25,N/A,N/A,N/A,N/A,N/A,122,N/A,9.0,N/A,Not offered,4,4,N/A,-2,2.3,98.2%,34%,N/A,8,ACT,"$5,440 (2015-16)",15-19,35,Less selective,N/A,128,40%,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,43,0,0,0,0,0,0,0,0
